Date,Open,High,Low,Close,Adj Close,Volume
2023-02-15,50.549999,50.900002,49.799999,50.250000,50.250000,49655881
2023-02-16,50.799999,51.799999,50.450001,51.400002,51.400002,48841966
2023-02-17,51.250000,52.200001,50.700001,51.799999,51.799999,52862406
2023-02-20,51.900002,55.049999,51.750000,54.599998,54.599998,93315254
2023-02-21,54.599998,56.150002,54.400002,55.349998,55.349998,100106053
2023-02-22,54.849998,55.400002,52.599998,52.950001,52.950001,75802021
2023-02-23,53.000000,56.000000,52.799999,54.950001,54.950001,118058937
2023-02-24,55.500000,56.750000,54.000000,54.450001,54.450001,73440699
2023-02-27,54.700001,54.750000,53.200001,53.599998,53.599998,38735556
2023-02-28,53.700001,54.400002,53.000000,53.500000,53.500000,45414869
2023-03-01,53.500000,55.349998,53.349998,54.950001,54.950001,42854827
2023-03-02,54.750000,55.200001,54.349998,54.549999,54.549999,36256148
2023-03-03,54.900002,55.400002,53.200001,53.650002,53.650002,36943821
2023-03-06,54.000000,54.950001,53.700001,53.950001,53.950001,33492583
2023-03-08,53.450001,55.299999,52.650002,54.799999,54.799999,44159725
2023-03-09,55.099998,56.349998,53.900002,54.049999,54.049999,56021946
2023-03-10,53.799999,54.500000,53.299999,53.849998,53.849998,39226931
2023-03-13,53.950001,54.700001,51.599998,51.900002,51.900002,52374659
2023-03-14,52.000000,52.500000,50.200001,50.750000,50.750000,52247904
2023-03-15,51.500000,52.200001,50.549999,50.750000,50.750000,38763143
2023-03-16,50.900002,53.700001,49.849998,53.049999,53.049999,61237058
2023-03-17,53.450001,55.750000,53.049999,54.900002,54.900002,112918857
2023-03-20,53.599998,54.750000,52.200001,53.549999,53.549999,65578919
2023-03-21,53.849998,54.150002,52.650002,53.000000,53.000000,31632951
2023-03-22,53.400002,53.900002,52.700001,53.099998,53.099998,38444991
2023-03-23,52.900002,53.200001,52.099998,52.650002,52.650002,32816290
2023-03-24,52.500000,52.849998,50.150002,50.650002,50.650002,67243087
2023-03-27,50.700001,51.299999,49.250000,50.099998,50.099998,49618132
2023-03-28,50.200001,50.549999,49.000000,50.250000,50.250000,50426174
2023-03-29,50.250000,51.750000,49.599998,51.250000,51.250000,41464387
2023-03-31,51.250000,51.700001,50.650002,51.000000,51.000000,56566133
2023-04-03,51.500000,52.150002,50.900002,51.950001,51.950001,29241512
2023-04-05,52.099998,52.900002,51.549999,51.700001,51.700001,25497115
2023-04-06,51.750000,52.450001,51.299999,52.150002,52.150002,19695678
2023-04-10,52.150002,54.200001,51.799999,53.950001,53.950001,60655412
2023-04-11,54.650002,55.250000,53.250000,53.950001,53.950001,41101417
2023-04-12,54.250000,54.250000,52.900002,53.200001,53.200001,30848068
2023-04-13,53.200001,54.150002,52.849998,53.849998,53.849998,26646279
2023-04-17,54.200001,54.250000,53.000000,53.950001,53.950001,24787918
2023-04-18,54.049999,54.200001,53.049999,53.299999,53.299999,27617603
2023-04-19,53.599998,55.950001,53.200001,54.150002,54.150002,62022927
2023-04-20,54.150002,54.400002,53.650002,54.200001,54.200001,23096046
2023-04-21,54.299999,56.750000,54.099998,56.049999,56.049999,106707937
2023-04-24,55.500000,56.400002,54.700001,56.000000,56.000000,43287483
2023-04-25,56.400002,60.599998,56.200001,57.750000,57.750000,199056106
2023-04-26,58.099998,59.000000,57.099998,58.200001,58.200001,59765915
2023-04-27,58.599998,61.150002,58.349998,60.700001,60.700001,82969101
2023-04-28,60.799999,66.000000,59.549999,64.900002,64.900002,190938290
2023-05-02,64.500000,65.650002,63.049999,63.450001,63.450001,112758256
